weather_condition,place,clothes_category
sunny,park,"shorts, t-shirt, sandals"
sunny,park,"blazer, dress pants, heels"
sunny,shopping mall,"jeans, t-shirt, sneakers"
sunny,beach,"summer dress, sandals, hat"
sunny,beach,"swimsuit, cover-up, flip-flops"
sunny,restaurant,"jumpsuit, wedges"
sunny,restaurant,"blouse, skirt, heels"
sunny,bar,"blouse, jeans, heels"
sunny,bar,"shorts, blouse, sandals"
sunny,office,"slacks, button-up shirt, dress shoes"
sunny,office,"skirt,blouse,heels"
sunny,office,"dress,heels"
sunny,office,"blazer, dress pants, heels"
sunny,gym,"athletic shorts,athletic shirt,running shoes"
sunny,gym,"sport bra, yoga pants, sneakers"
sunny,gym,"tank top, leggings, sneakers"
sunny,swimming pool,"swimsuit, cover-up, flip-flops"
sunny,swimming pool,"tankini, cover-up, flip-flops"
cloudy,coffee shop,"jeans,sweater,boots"
cloudy,theater,"dress pants,polo shirt,loafers"
cloudy,shopping mall,"rain jacket,jeans,boots"
cloudy,office,"slacks,blouse,heels"
cloudy,office,"dress pants,button-up shirt,dress shoes"
cloudy,gym,"track pants,hoodie,sneakers"
rainy,shopping mall,"jeans,raincoat,boots"
rainy,coffee shop,"dress pants,blouse,heels"
rainy,coffee shop,"rain boots,leggings,raincoat,hat"
rainy,coffee shop,"blazer, dress pants, raincoat, boots"
rainy,museum,"coat,hat,boots"
rainy,museum,"sweater,pants, coat,"
rainy,theater,"sweater, coat, boots"
rainy,theater,"blouse, skirt, coat, boots"
rainy,office,"dress pants,button-up shirt,raincoat,dress shoes"
rainy,office,"pencil skirt,raincoat,heels"
rainy,gym,"indoor gym clothes,indoor sport shoes"
rainy,gym,"t-shirt, shorts, sneakers"
rainy,gym,"sport bra, yoga pants, sneakers"
snowy,ski resort,"snow pants,jacket,winter boots,hat,scarf"
snowy,ski resort,"ski pants,jacket,gloves"
snowy,museum,"coat,hat,boots"
snowy,museum,"turtleneck sweater, dress pants, coat,"
snowy,theater,"dress pants, sweater, coat, boots"
snowy,theater,"blouse, skirt, coat, boots"
snowy,coffee shop,"snow boots,leggings,jacket,hat"
snowy,office,"dress pants,blouse,winter coat,boots"
snowy,office,"slacks,sweater,dress shoes"
snowy,gym,"indoor gym clothes,indoor sport shoes"
snowy,shopping mall,"pants, sweater, coat, boots"
