weather_condition,place,temperature,clothes_category
clear,home,-10:0,Pijamas
clear,home,1:10,Pijamas
clear,home,10:20,Pijamas
clear,home,20:33,Pijamas
clear,office,-10:0,"Slacks, button-up shirt, coat, boots"
clear,office,1:10,"Slacks, button-up shirt, boots"
clear,office,10:20,"Skirt, blouse, heels shoes"
clear,office,20:33,"Dress, sandals"
clear,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
clear,restaurant,1:10,"Slacks, button-up shirt, boots"
clear,restaurant,10:20,"Pants, blouse, heels shoes"
clear,restaurant,20:33,"Jumpsuit, heels shoes"
clear,park,-10:0,"Jeans, blouse, coat, boots"
clear,park,1:10,"Jeans, blouse, boots"
clear,park,10:20,"Pants, hoodie,  sneakers"
clear,park,20:33,"Shorts, t-shirt, sandals"
clear,gym,-10:0,"Leggings, athletic shirt, sneakers"
clear,gym,1:10,"Leggings, t-shirt, sneakers"
clear,gym,10:20,"Leggins, t-shirt, running shoes"
clear,gym,20:33,"Athletic shorts, sport bra, sneakers"
clear,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
clear,beach,1:10,"Swinsuit, summer dress, sandals, hat"
clear,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
clear,beach,20:33,"Swinsuit, summer dress, sandals, hat"
clear,shopping mall,-10:0,"Jeans, blouse, coat, boots"
clear,shopping mall,1:10,"Jeans, blouse, boots"
clear,shopping mall,10:20,"Pants, hoodie,  sneakers"
clear,shopping mall,20:33,"Shorts, t-shirt, sandals"
clear,party,-10:0,"Slacks, button-up shirt, coat, boots"
clear,party,1:10,"Slacks, button-up shirt, boots"
clear,party,10:20,"Pants, blouse, heels shoes"
clear,party,20:33,"Jumpsuit, heels shoes"
clear,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
clear,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
clear,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
clear,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
sun,home,-10:0,Pijamas
sun,home,1:10,Pijamas
sun,home,10:20,Pijamas
sun,home,20:33,Pijamas
sun,office,-10:0,"Slacks, button-up shirt, coat, boots"
sun,office,1:10,"Slacks, button-up shirt, boots"
sun,office,10:20,"Skirt, blouse, heels shoes"
