weather_condition,place,temperature,clothes_category
sunny,home,-10:0,Pijamas
sunny,home,1:10,Pijamas
sunny,home,11:20,Pijamas
sunny,home,21:30,Pijamas
sunny,office,-10:0,"Slacks, button-up shirt, coat, boots"
sunny,office,1:10,"Slacks, button-up shirt, boots"
sunny,office,11:20,"Skirt, blouse, heels shoes"
sunny,office,21:30,"Dress, sandals"
sunny,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
sunny,restaurant,1:10,"Slacks, button-up shirt, boots"
sunny,restaurant,11:20,"Pants, blouse, heels shoes"
sunny,restaurant,21:30,"Jumpsuit, heels shoes"
sunny,park,-10:0,"Jeans, blouse, coat, boots"
sunny,park,1:10,"Jeans, blouse, boots"
sunny,park,11:20,"Pants, hoodie,  sneakers"
sunny,park,21:30,"Shorts, t-shirt, sandals"
sunny,gym,-10:0,"Leggings, athletic shirt, sneakers"
sunny,gym,1:10,"Leggings, t-shirt, sneakers"
sunny,gym,11:20,"Leggins, t-shirt, running shoes"
sunny,gym,21:30,"Athletic shorts, sport bra, sneakers"
sunny,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
sunny,beach,1:10,"Swinsuit, summer dress, sandals, hat"
sunny,beach,11:20,"Swinsuit, summer dress, flip-flops, hat"
sunny,beach,21:30,"Swinsuit, summer dress, sandals, hat"
sunny,shopping mall,-10:0,"Jeans, blouse, coat, boots"
sunny,shopping mall,1:10,"Jeans, blouse, boots"
sunny,shopping mall,11:20,"Pants, hoodie,  sneakers"
sunny,shopping mall,21:30,"Shorts, t-shirt, sandals"
sunny,party,-10:0,"Slacks, button-up shirt, coat, boots"
sunny,party,1:10,"Slacks, button-up shirt, boots"
sunny,party,11:20,"Pants, blouse, heels shoes"
sunny,party,21:30,"Jumpsuit, heels shoes"
cloudy,home,-10:0,Pijamas
cloudy,home,1:10,Pijamas
cloudy,home,11:20,Pijamas
cloudy,home,21:30,Pijamas
cloudy,office,-10:0,"Slacks, button-up shirt, coat, boots"
cloudy,office,1:10,"Slacks, button-up shirt, boots"
cloudy,office,11:20,"Skirt, blouse, heels shoes"
cloudy,office,21:30,"Dress, heels shoes"
cloudy,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
cloudy,restaurant,1:10,"Slacks, button-up shirt, jacket, boots"
cloudy,restaurant,11:20,"Pants, blouse, sneakers"
cloudy,restaurant,21:30,"Jumpsuit, heels shoes"
cloudy,park,-10:0,"Jeans, blouse, coat, boots"
cloudy,park,1:10,"Jeans, blouse, boots"
cloudy,park,11:20,"Pants, hoodie,  sneakers"
cloudy,park,21:30,"Pants, t-shirt, sneakers"
cloudy,gym,-10:0,"Track pants, hoodie, sneakers"
cloudy,gym,1:10,"Leggings, t-shirt, sneakers"
cloudy,gym,11:20,"Leggins, t-shirt, running shoes"
cloudy,gym,21:30,"Leggings, t-shirt, sneakers"
cloudy,shopping mall,-10:0,"Jeans, blouse, coat, boots"
cloudy,shopping mall,1:10,"Jeans, blouse, boots"
cloudy,shopping mall,11:20,"Pants, hoodie,  sneakers"
cloudy,shopping mall,21:30,"Pants, t-shirt, sneakers"
cloudy,party,-10:0,"Slacks, button-up shirt, coat, boots"
cloudy,party,1:10,"Slacks, button-up shirt, jacket, boots"
cloudy,party,11:20,"Pants, blouse, sneakers"
cloudy,party,21:30,"Jumpsuit, heels shoes"
overcast,home,-10:0,Pijamas
overcast,home,1:10,Pijamas
overcast,home,11:20,Pijamas
overcast,home,21:30,Pijamas
overcast,office,-10:0,"Slacks, button-up shirt, coat, boots"
overcast,office,1:10,"Slacks, button-up shirt, boots"
overcast,office,11:20,"Skirt, blouse, heels shoes"
overcast,office,21:30,"Dress, heels shoes"
overcast,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
overcast,restaurant,1:10,"Slacks, button-up shirt, jacket, boots"
overcast,restaurant,11:20,"Pants, blouse, sneakers"
overcast,restaurant,21:30,"Jumpsuit, heels shoes"
overcast,park,-10:0,"Jeans, blouse, coat, boots"
overcast,park,1:10,"Jeans, blouse, boots"
overcast,park,11:20,"Pants, hoodie,  sneakers"
overcast,park,21:30,"Pants, t-shirt, sneakers"
overcast,gym,-10:0,"Track pants, hoodie, sneakers"
overcast,gym,1:10,"Leggings, t-shirt, sneakers"
overcast,gym,11:20,"Leggins, t-shirt, running shoes"
overcast,gym,21:30,"Leggings, t-shirt, sneakers"
overcast,shopping mall,-10:0,"Jeans, blouse, coat, boots"
overcast,shopping mall,1:10,"Jeans, blouse, boots"
overcast,shopping mall,11:20,"Pants, hoodie,  sneakers"
overcast,shopping mall,21:30,"Pants, t-shirt, sneakers"
overcast,party,-10:0,"Slacks, button-up shirt, coat, boots"
overcast,party,1:10,"Slacks, button-up shirt, jacket, boots"
overcast,party,11:20,"Pants, blouse, sneakers"
overcast,party,21:30,"Jumpsuit, heels shoes"
rainy,home,-10:0,Pijamas
rainy,home,1:10,Pijamas
rainy,home,11:20,Pijamas
rainy,home,21:30,Pijamas
rainy,office,-10:0,"Slacks, button-up shirt, coat, boots"
rainy,office,1:10,"Slacks, button-up shirt, jacket, boots"
rainy,office,11:20,"Pants, blouse, jacket, elegant shoes"
rainy,office,21:30,"Skirt, blouse, elegant shoes"
rainy,restaurant,-10:0,"Slacks, button-up shirt, raincoat, boots"
rainy,restaurant,1:10,"Slacks, button-up shirt, raincoat, boots"
rainy,restaurant,11:20,"Pants, blouse, jacket, sneakers"
rainy,restaurant,21:30,"Jumpsuit, jacket, elegant shoes"
rainy,park,-10:0,"Jeans, hoodie, coat, boots"
rainy,park,1:10,"Jeans, blouse, coat, boots"
rainy,park,11:20,"Jeans, hoodie,  sneakers"
rainy,park,21:30,"Jeans, t-shirt, jacket, sneakers"
rainy,gym,-10:0,"Track pants, hoodie, raincoat, sneakers"
rainy,gym,1:10,"Leggings, hoodie, raincoat, sneakers"
rainy,gym,11:20,"Leggins, t-shirt, raincoat, sneakers"
rainy,gym,21:30,"Leggings, t-shirt, sneakers"
rainy,shopping mall,-10:0,"Jeans, hoodie, raincoat, boots"
rainy,shopping mall,1:10,"Jeans, blouse, raincoat, boots"
rainy,shopping mall,11:20,"Jeans, hoodie, raincoat, sneakers"
rainy,shopping mall,21:30,"Jeans, t-shirt, jacket, sneakers"
rainy,party,-10:0,"Slacks, button-up shirt, raincoat, boots"
rainy,party,1:10,"Slacks, button-up shirt, jacket, boots"
rainy,party,11:20,"Pants, blouse, jacket, sneakers"
rainy,party,21:30,"Pants, t-shirt, raincoat, sneakers"
snowy,home,-10:0,Pijamas
snowy,home,1:10,Pijamas
snowy,home,11:20,Pijamas
snowy,home,21:30,Pijamas
snowy,office,-10:0,"Slacks, sweater, winter coat, boots"
snowy,office,1:10,"Slacks, blouse, winter coat, boots"
snowy,office,11:20,"Pants, button-up shirt, winter coat, boots"
snowy,office,21:30,"Skirt, blouse, winter coat, boots"
snowy,restaurant,-10:0,"Slacks, sweater, winter coat, boots"
snowy,restaurant,1:10,"Slacks, blouse, winter coat, boots"
snowy,restaurant,11:20,"Pants, button-up shirt, winter coat, boots"
snowy,restaurant,21:30,"Skirt, blouse, winter coat, boots"
snowy,park,-10:0,"Jeans, sweater, winter coat, boots, hat, scarf, gloves"
snowy,park,1:10,"Jeans, hoodie, winter coat, boots, hat, scarf, gloves"
snowy,park,11:20,"Jeans, blouse, coat, boots, scarf"
snowy,park,21:30,"Jeans, blouse, coat, boots"
snowy,gym,-10:0,"Track pants, hoodie, winter coat, boots"
snowy,gym,1:10,"Leggings, hoodie, winter coat, boots"
snowy,gym,11:20,"Leggins, t-shirt, winter coat, sneakers"
snowy,gym,21:30,"Leggings, t-shirt, winter coat sneakers"
snowy,shopping mall,-10:0,"Pants, sweater, winter coat, boots, scarf"
snowy,shopping mall,1:10,"Jeans, hoodie, winter coat, boots, scarf"
snowy,shopping mall,11:20,"Jeans, blouse, coat, boots"
snowy,shopping mall,21:30,"Pants, blouse, coat, boots"
snowy,party,-10:0,"Slacks, sweater, winter coat, boots, scarf"
snowy,party,1:10,"Slacks, blouse, winter coat, boots"
snowy,party,11:20,"Pants, button-up shirt, winter coat, boots"
snowy,party,21:30,"Skirt, blouse, winter coat, boots"
snowy,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snowy,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snowy,ski resort,11:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snowy,ski resort,21:30,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
