Location,Date,Hour,Temperature,Condition,Pressure,Humidity,Luminosity,Rain,Place,Clothes
Cluj-Napoca,2022-04-01,00:00,8.0,Moderate rain at times,996.0,95,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,01:00,8.4,Moderate rain at times,996.0,95,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,02:00,8.9,Moderate rain at times,996.0,96,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,03:00,9.3,Moderate rain at times,995.0,96,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,04:00,9.5,Patchy rain possible,995.0,95,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,05:00,9.6,Patchy rain possible,995.0,94,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,06:00,9.8,Patchy rain possible,995.0,93,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,07:00,9.3,Patchy rain possible,994.0,88,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-01,08:00,10.6,Partly cloudy,994.0,82,4.0,0,home,Pijamas
Cluj-Napoca,2022-04-01,09:00,12.9,Patchy rain possible,994.0,77,3.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,10:00,13.8,Patchy rain possible,994.0,73,3.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,11:00,14.6,Cloudy,993.0,68,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-01,12:00,15.5,Overcast,993.0,64,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-01,13:00,16.0,Overcast,993.0,70,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-01,14:00,15.1,Patchy rain possible,993.0,77,4.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,15:00,14.6,Patchy rain possible,994.0,83,3.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,16:00,14.4,Patchy rain possible,994.0,82,3.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,17:00,13.3,Heavy rain at times,994.0,80,3.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,18:00,11.5,Moderate rain at times,994.0,78,3.0,1,office,"Pants, blouse, jacket, elegant shoes"
Cluj-Napoca,2022-04-01,19:00,10.8,Patchy rain possible,995.0,81,3.0,1,gym,"Leggins, t-shirt, raincoat, sneakers"
Cluj-Napoca,2022-04-01,20:00,10.2,Cloudy,995.0,84,1.0,0,gym,"Leggins, t-shirt, running shoes"
Cluj-Napoca,2022-04-01,21:00,9.5,Patchy rain possible,996.0,87,1.0,1,gym,"Leggings, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-01,22:00,9.0,Cloudy,995.0,88,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-01,23:00,8.4,Moderate rain at times,995.0,88,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,00:00,7.9,Patchy rain possible,994.0,88,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,01:00,8.3,Cloudy,994.0,90,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,02:00,8.7,Patchy rain possible,993.0,91,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,03:00,8.1,Patchy rain possible,993.0,93,1.0,1,home,Pijamas
