Date,Temperature (C),Humidity (%),Wind Speed (km/h),Luminosity (klux),Rain,Umbrella,Condition,Clothes
2022-01-01,-7.5,99,23.8,8.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-02,20.5,51,48.0,8.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-03,9.5,15,47.5,8.1,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-01-04,17.2,40,38.2,9.3,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-05,4.2,64,17.5,8.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-06,-9.4,14,44.9,6.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-01-07,28.3,54,31.8,5.2,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-01-08,8.3,36,31.4,6.0,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-01-09,13.3,88,46.8,0.3,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-01-10,-4.9,33,42.7,7.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-01-11,-2.1,96,47.7,5.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-01-12,-9.1,82,29.5,8.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-13,25.1,1,28.0,9.5,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-01-14,7.4,68,22.2,9.0,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-01-15,21.5,67,28.4,1.6,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-01-16,29.1,18,4.0,8.0,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-01-17,25.4,25,6.8,4.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-01-18,7.0,26,41.1,2.4,No,No,Cloudy,"sweater, pants, boots"
2022-01-19,5.8,95,0.7,8.5,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-01-20,1.7,31,10.4,9.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-01-21,-4.8,39,27.7,8.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-01-22,5.3,39,19.2,4.1,No,No,Cloudy,"sweater, pants, boots"
2022-01-23,15.2,39,38.9,0.9,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-01-24,24.6,99,49.7,0.6,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-01-25,-3.1,69,43.7,2.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-01-26,23.8,80,45.0,1.5,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-01-27,1.8,70,3.3,8.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-28,-3.1,38,1.5,5.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-29,4.0,18,38.6,7.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-01-30,-6.4,76,21.7,4.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-01-31,0.5,18,4.3,5.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-02-01,11.3,43,34.0,6.8,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-02-02,21.0,51,7.5,2.3,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-02-03,3.0,74,0.2,1.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-02-04,-9.9,37,28.3,1.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-02-05,-2.9,99,6.4,3.6,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
